CODE GEO;com_start;x_start;y_start;DCLT;com_end;x_end;y_end;Flux
33151;Donnezac;-0.444;45.234;33063;Bordeaux;-0.573;44.858;25.7353440792734
33154;Les aglisottes-et-Chalaures;-0.033;45.093;33063;Bordeaux;-0.573;44.858;60
33155;Escaudes;-0.208;44.313;33063;Bordeaux;-0.573;44.858;4.93700732259947
33156;Escoussans;-0.275;44.68;33063;Bordeaux;-0.573;44.858;14.9286113172594
33157;Espiet;-0.265;44.796;33063;Bordeaux;-0.573;44.858;30.602610448025
33159;atauliers;-0.582;45.221;33063;Bordeaux;-0.573;44.858;29.4514828759829
33161;Eyrans;-0.61;45.193;33063;Bordeaux;-0.573;44.858;10.0394218134034
33162;Eysines;-0.648;44.879;33063;Bordeaux;-0.573;44.858;2997.58759127824
33163;Faleyras;-0.228;44.764;33063;Bordeaux;-0.573;44.858;15.1835817238587
33164;Fargues;-0.295;44.535;33063;Bordeaux;-0.573;44.858;89.4632023434021
33165;Fargues-Saint-Hilaire;-0.44;44.819;33063;Bordeaux;-0.573;44.858;449.890609191065
33166;Le Fieu;-0.036;45.055;33063;Bordeaux;-0.573;44.858;19.678336658046
33167;Floirac;-0.521;44.834;33063;Bordeaux;-0.573;44.858;2671.36575701714
33168;Flaujagues;0.025;44.832;33063;Bordeaux;-0.573;44.858;9.9694803343434
33169;Floudès;-0.063;44.57;33063;Bordeaux;-0.573;44.858;5.05240618150527
33170;Fontet;-0.029;44.556;33063;Bordeaux;-0.573;44.858;40.3143948466998
33172;Fours;-0.633;45.174;33063;Bordeaux;-0.573;44.858;21.025641025641
33174;Fronsac;-0.279;44.922;33063;Bordeaux;-0.573;44.858;60
33175;Frontenac;-0.145;44.73;33063;Bordeaux;-0.573;44.858;35.306963463497
33176;Gabarnac;-0.263;44.617;33063;Bordeaux;-0.573;44.858;14.8314606741573
33177;Gaillan-en-Médoc;-0.987;45.313;33063;Bordeaux;-0.573;44.858;34.8689970150597
33179;Galgon;-0.276;44.99;33063;Bordeaux;-0.573;44.858;75.6556904027286
33181;Gardegan-et-Tourtirac;-0.017;44.894;33063;Bordeaux;-0.573;44.858;5.01792114695341
33182;Gauriac;-0.625;45.065;33063;Bordeaux;-0.573;44.858;39.3832680215153
33183;Gauriaguet;-0.396;45.045;33063;Bordeaux;-0.573;44.858;130.286312849162
33184;Générac;-0.546;45.174;33063;Bordeaux;-0.573;44.858;9.66464811472503
33185;Génissac;-0.249;44.861;33063;Bordeaux;-0.573;44.858;145
33187;Gironde-sur-Dropt;-0.088;44.591;33063;Bordeaux;-0.573;44.858;25
33189;Gornac;-0.184;44.663;33063;Bordeaux;-0.573;44.858;15
33191;Gours;0.026;44.998;33063;Bordeaux;-0.573;44.858;12.37940639055
33192;Gradignan;-0.617;44.771;33063;Bordeaux;-0.573;44.858;2023.96154115993
33193;Grayan-et-l'Hà´pital;-1.109;45.435;33063;Bordeaux;-0.573;44.858;19.2611795204151
33194;Grézillac;-0.219;44.817;33063;Bordeaux;-0.573;44.858;24.6982009281479
33195;Grignols;-0.026;44.411;33063;Bordeaux;-0.573;44.858;14.4604233100657
33196;Guillac;-0.211;44.804;33063;Bordeaux;-0.573;44.858;19.6319018404908
33197;Guillos;-0.519;44.552;33063;Bordeaux;-0.573;44.858;65
33198;Guà®tres;-0.187;45.043;33063;Bordeaux;-0.573;44.858;50.1176629721803
33199;Gujan-Mestras;-1.084;44.596;33063;Bordeaux;-0.573;44.858;585.451523018553
33200;Le Haillan;-0.684;44.869;33063;Bordeaux;-0.573;44.858;1373.27705571226
33201;Haux;-0.366;44.737;33063;Bordeaux;-0.573;44.858;54.8026315789474
33202;Hostens;-0.657;44.485;33063;Bordeaux;-0.573;44.858;82.1800278380492
33203;Hourtin;-1.065;45.181;33063;Bordeaux;-0.573;44.858;81.6906323578877
33204;Hure;-0.005;44.537;33063;Bordeaux;-0.573;44.858;9.73070017953324
33205;Illats;-0.38;44.607;33063;Bordeaux;-0.573;44.858;95
33206;Isle-Saint-Georges;-0.475;44.727;33063;Bordeaux;-0.573;44.858;25
33207;Izon;-0.355;44.922;33063;Bordeaux;-0.573;44.858;648.019802995547
33208;Jau-Dignac-et-Loirac;-0.963;45.415;33063;Bordeaux;-0.573;44.858;9.8150372196417
33209;Jugazan;-0.15;44.779;33063;Bordeaux;-0.573;44.858;10.2909090909091
33211;Labarde;-0.64;45.014;33063;Bordeaux;-0.573;44.858;90.8577013209883
33213;La Brède;-0.537;44.68;33063;Bordeaux;-0.573;44.858;424.682160160567
33214;Lacanau;-1.108;44.984;33063;Bordeaux;-0.573;44.858;155.654123190126
33216;Lados;-0.137;44.469;33063;Bordeaux;-0.573;44.858;4.85795454545455
33218;Lagorce;-0.161;45.079;33063;Bordeaux;-0.573;44.858;24.988113771927
33219;La Lande-de-Fronsac;-0.38;44.984;33063;Bordeaux;-0.573;44.858;265
33220;Lamarque;-0.716;45.093;33063;Bordeaux;-0.573;44.858;65
33221;Lamothe-Landerron;0.061;44.565;33063;Bordeaux;-0.573;44.858;20.3629537269234
33222;Lalande-de-Pomerol;-0.207;44.957;33063;Bordeaux;-0.573;44.858;4.87255348599591
33223;Landerrouat;0.161;44.743;33063;Bordeaux;-0.573;44.858;5
33225;Landiras;-0.443;44.567;33063;Bordeaux;-0.573;44.858;109.462816560276
33226;Langoiran;-0.374;44.708;33063;Bordeaux;-0.573;44.858;139.484202338144
33227;Langon;-0.241;44.537;33063;Bordeaux;-0.573;44.858;263.307718538361
33228;Lansac;-0.535;45.064;33063;Bordeaux;-0.573;44.858;35.975073313783
33229;Lanton;-0.978;44.775;33063;Bordeaux;-0.573;44.858;220
33230;Lapouyade;-0.286;45.111;33063;Bordeaux;-0.573;44.858;20.8564890277933
33231;Laroque;-0.307;44.66;33063;Bordeaux;-0.573;44.858;29.5876288659794
33233;Laruscade;-0.344;45.124;33063;Bordeaux;-0.573;44.858;147.223472081265
